问题号,问题提交人,问题单当前状态,问题单创建时间,严重程度,可否重现,重现条件,简要描述,详细描述,状态,预计解决日期,enno最新状态,enno 状态更新记录,enno comments,实际解决日期,自验状态,附件1,附件2,附件3
1225-告警显示-01,樊李杰,OPEN,2024.12.28,严重,必现,,告警电路图无法打开,通过打开工程的方式打开工程，查看告警电路图时，显示“schematic view is empty”,,,,,,,,,,
1225-告警显示-02,樊李杰,OPEN,2024.12.28,一般,必现,,过滤搜索,在搜索框中输入搜索内容，搜索到后将搜索方式修改为过滤的方式，界面没有变化,,,,,,,,,,
1225-告警显示-03,樊李杰,OPEN,2024.12.28,一般,必现,,过滤搜索,在通过过滤搜索的方式搜索完成后，请空搜索内容，使用回车，没有回复到全量,,,,,,,,,,
1225-运行-01,樊李杰,OPEN,2024.12.28,严重,必现,,正常执行后，再次运行GUI异常闪退,正常执行后，再次运行GUI异常闪退,,,,,,,,,,
1225-告警展示-04,樊李杰,OPEN,2024.12.28,提示,必现,,使用通配符.*进行waive，显示存在性能问题,在waive配置界面使用.*进行正则表达式waive告警，配置界面的显示框中显示较慢,,,,,,,,,,
1225-优化建议-01,樊李杰,OPEN,2024.12.28,一般,必现,,工程配置,project界面导入文件后，在输入框中双击编辑添加参数后，如果没有取消聚焦，则无法保存添加的参数,,,,,,,,,,
1225-优化建议-02,樊李杰,OPEN,2024.12.28,一般,必现,,工程配置,在导入文件后，双击文件，输入空格，重新通过Broswer添加文件无法将文件添加进来,,,,,,,,,,
1225-优化建议-03,樊李杰,OPEN,2024.12.28,严重,必现,,另存为没有保存session,打开他人目录下的工程，另存为工程后，打不开指定路径下的另存为的工程（另存工程没有将session另存过去；可以使用save_session的方式规避）,,,,,,,,,,
1225-优化建议-04,樊李杰,OPEN,2024.12.28,提示,必现,,参数配置界面,当参数配置界面较小时，界面显示不合理：编辑参数配置时，滚动条在最右侧,,,,,,,,,,
1225-优化建议-05,樊李杰,OPEN,2024.12.28,一般,必现,,常值电路图显示迭代优化,SetupClkTiedTonConst和SetupDataTiedToConst的电路图仅显示一个寄存器，应该将常值路径也显示出来,,,,,,,,,,
1225-优化建议-06,樊李杰,OPEN,2024.12.28,提示,必现,,日志显示,打开日志后日志内容颜色为蓝色，开放给用户配置,,,,,,,,,,
1225-优化建议-07,樊李杰,OPEN,2024.12.28,提示,必现,,电路图搜索,现象：从message中copy一个信号的例化层次，在电路图中进行搜索，若信号为data[2:1]/q，无法搜索到对应的内容,,,,,,,,,,
1225-优化建议-08,樊李杰,OPEN,2024.12.28,一般,必现,,merge+电路图搜索,通过搜索一个被merage的信号，应该将该merge生成的框高亮，告知搜索到的信号在其中，而非界面上不显示任何内容，仅搜索框告知用户搜索到1个内容,,,,,,,,,,
1225-优化建议-09,樊李杰,OPEN,2024.12.28,一般,必现,,source的方式运行tcl文件,执行射频项目检查时，project界面“run”“stop”“setting”状态异常,,,,,,,,,,
1225-优化建议-10,樊李杰,OPEN,2024.12.28,一般,必现,,使用.*进行waive，会将Lint的告警在waive界面显示出来,在waive配置界面使用.*进行正则表达式waive告警，read_design节点会将HDL的Rule显示出来,,,,,,,,,,
1225-优化建议-11,樊李杰,OPEN,2024.12.28,严重,必现,,优化建议：按照instance的数量进行统计,告警电路图的显示不应该有限制（未发现A工具有因告警电路图过大无法显示的情况）操作方式：使用告警电路图中的起点+终点进行trace,,,,,,,,,,
1225-优化建议-12,樊李杰,OPEN,2024.12.28,提示,必现,,,查看帮助信息通过嵌套界面显示，不要使用浏览器打开（若一定要使用浏览器，建议多配置一些浏览器，不同的红区安装的浏览器可能不同）,,,,,,,,,,
1225-优化建议-13,樊李杰,OPEN,2024.12.28,一般,必现,,,在project界面read_design时，输入错误的参数，执行检查，正常执行不会有参数报错显示；在Terminal界面输入错误参数会正常告警,,,,,,,,,,
1225-优化建议-14,樊李杰,OPEN,2024.12.28,严重,必现,,,在project界面重复添加文件时，会正常添加（A工具进行重复添加文件操作，不会重复添加）。优化建议：在apply之前对用户进行提示,,,,,,,,,,
